% The simulated data from the IoT environment
@RELATION CoojaData

@ATTRIBUTE usrc_bytes REAL
@ATTRIBUTE udst_bytes REAL
@ATTRIBUTE protocol_type {tcp, udp, icmpv6}
@ATTRIBUTE dio_count REAL
@ATTRIBUTE dao_count REAL
@ATTRIBUTE dis_count REAL
@ATTRIBUTE class {normal, anomaly}

@DATA
250,0,icmpv6,0,5,0,normal
200,0,icmpv6,0,4,0,normal
100,0,icmpv6,0,2,0,normal
2600,0,icmpv6,0,52,0,normal
650,0,icmpv6,0,13,0,normal
250,0,icmpv6,0,5,0,normal
1500,0,icmpv6,0,30,0,normal
3800,0,icmpv6,0,76,0,normal
1800,0,icmpv6,0,36,0,normal
300,0,icmpv6,0,6,0,normal
3650,0,icmpv6,0,73,0,normal
3650,0,icmpv6,0,73,0,normal
0,2100,icmpv6,0,42,0,normal
0,2100,icmpv6,0,42,0,normal
100,0,icmpv6,0,2,0,normal
100,0,icmpv6,0,2,0,normal
150,0,icmpv6,0,3,0,normal
1150,0,icmpv6,0,23,0,normal
350,0,icmpv6,0,7,0,normal
1800,0,icmpv6,0,36,0,normal
2550,0,icmpv6,0,51,0,normal
250,0,icmpv6,0,5,0,normal
250,0,icmpv6,0,5,0,normal
1150,0,icmpv6,0,23,0,normal
1150,0,icmpv6,0,23,0,normal
11550,0,icmpv6,0,231,0,normal
11550,0,icmpv6,0,231,0,normal
5150,0,icmpv6,0,103,0,normal
5150,0,icmpv6,0,103,0,normal
0,1950,icmpv6,0,39,0,normal
0,1950,icmpv6,0,39,0,normal
0,2250,icmpv6,0,45,0,normal
0,2250,icmpv6,0,45,0,normal
1900,0,icmpv6,0,38,0,normal
1900,0,icmpv6,0,38,0,normal
0,2300,icmpv6,0,46,0,normal
0,2300,icmpv6,0,46,0,normal
1950,0,icmpv6,0,39,0,normal
1950,0,icmpv6,0,39,0,normal
600,0,icmpv6,0,12,0,normal
0,3950,icmpv6,0,79,0,normal
0,3950,icmpv6,0,79,0,normal
0,1950,icmpv6,0,39,0,normal
0,1950,icmpv6,0,39,0,normal
0,4750,icmpv6,0,95,0,normal
0,4750,icmpv6,0,95,0,normal
0,1450,icmpv6,0,29,0,normal
0,1450,icmpv6,0,29,0,normal
1850,0,icmpv6,0,37,0,normal
1850,0,icmpv6,0,37,0,normal
2350,0,icmpv6,0,47,0,normal
2350,0,icmpv6,0,47,0,normal
0,3250,icmpv6,0,65,0,normal
0,3250,icmpv6,0,65,0,normal
1600,0,icmpv6,0,32,0,normal
4100,0,icmpv6,0,82,0,normal
1600,0,icmpv6,0,32,0,normal
400,0,icmpv6,0,8,0,normal
4750,0,icmpv6,0,95,0,normal
4750,0,icmpv6,0,95,0,normal
4750,0,icmpv6,0,95,0,normal
0,2050,icmpv6,0,41,0,normal
0,2050,icmpv6,0,41,0,normal
0,2050,icmpv6,0,41,0,normal
0,1250,icmpv6,0,25,0,normal
0,2800,icmpv6,0,56,0,normal
2250,0,icmpv6,0,45,0,normal
2250,0,icmpv6,0,45,0,normal
2250,0,icmpv6,0,45,0,normal
1600,0,icmpv6,0,32,0,normal
550,0,icmpv6,0,11,0,normal
0,600,icmpv6,0,12,0,normal
0,600,icmpv6,0,12,0,normal
4950,0,icmpv6,0,99,0,normal
0,1000,icmpv6,0,20,0,normal
2400,0,icmpv6,0,48,0,normal
2400,0,icmpv6,0,48,0,normal
2400,0,icmpv6,0,48,0,normal
2400,0,icmpv6,0,48,0,normal
550,0,icmpv6,0,11,0,normal
2400,0,icmpv6,0,48,0,normal
1650,0,icmpv6,0,33,0,normal
0,1200,icmpv6,0,24,0,normal
0,1000,icmpv6,0,20,0,normal
600,0,icmpv6,0,12,0,normal
0,850,icmpv6,0,17,0,normal
0,400,icmpv6,0,8,0,normal
0,600,icmpv6,0,12,0,normal
0,450,icmpv6,0,9,0,normal
50,0,icmpv6,0,1,0,normal
50,0,icmpv6,0,1,0,normal
100,0,icmpv6,0,2,0,normal
100,0,icmpv6,0,2,0,normal
100,0,icmpv6,0,2,0,normal
200,0,icmpv6,0,4,0,normal
200,0,icmpv6,0,4,0,normal
0,3400,icmpv6,0,68,0,normal
600,0,icmpv6,0,12,0,normal
0,1800,icmpv6,0,36,0,normal
0,1300,icmpv6,0,26,0,normal
100,0,icmpv6,0,2,0,normal
100,0,icmpv6,0,2,0,normal
100,0,icmpv6,0,2,0,normal
0,1200,icmpv6,0,24,0,normal
0,700,icmpv6,0,14,0,normal
0,700,icmpv6,0,14,0,normal
150,0,icmpv6,0,3,0,normal
150,0,icmpv6,0,3,0,normal
150,0,icmpv6,0,3,0,normal
0,600,icmpv6,0,12,0,normal
3250,0,icmpv6,0,65,0,normal
0,1000,icmpv6,0,20,0,normal
1750,0,icmpv6,0,35,0,normal
0,250,icmpv6,0,5,0,normal
3000,0,icmpv6,0,60,0,normal
1700,0,icmpv6,0,34,0,normal
0,650,icmpv6,0,13,0,normal
0,650,icmpv6,0,13,0,normal
0,1300,icmpv6,0,26,0,normal
0,1300,icmpv6,0,26,0,normal
0,2450,icmpv6,0,49,0,normal
0,2450,icmpv6,0,49,0,normal
0,400,icmpv6,0,8,0,normal
0,400,icmpv6,0,8,0,normal
150,0,icmpv6,0,3,0,normal
150,0,icmpv6,0,3,0,normal
0,350,icmpv6,0,7,0,normal
0,350,icmpv6,0,7,0,normal
650,0,icmpv6,0,13,0,normal
650,0,icmpv6,0,13,0,normal
400,0,icmpv6,0,8,0,normal
200,0,icmpv6,0,4,0,normal
0,850,icmpv6,0,17,0,normal
50,0,icmpv6,0,1,0,normal
50,0,icmpv6,0,1,0,normal
0,950,icmpv6,0,19,0,normal
0,950,icmpv6,0,19,0,normal
350,0,icmpv6,0,7,0,normal
350,0,icmpv6,0,7,0,normal
850,0,icmpv6,0,17,0,normal
850,0,icmpv6,0,17,0,normal
100,0,icmpv6,0,2,0,normal
100,0,icmpv6,0,2,0,normal
50,0,icmpv6,0,1,0,normal
50,0,icmpv6,0,1,0,normal
400,0,icmpv6,0,8,0,normal
400,0,icmpv6,0,8,0,normal
150,0,icmpv6,0,3,0,normal
50,0,icmpv6,0,1,0,normal
50,0,icmpv6,0,1,0,normal
50,0,icmpv6,0,1,0,normal
50,0,icmpv6,0,1,0,normal
0,200,icmpv6,0,4,0,normal
0,200,icmpv6,0,4,0,normal
1850,0,icmpv6,0,37,0,normal
1850,0,icmpv6,0,37,0,normal
0,1500,icmpv6,0,30,0,normal
0,1500,icmpv6,0,30,0,normal
0,500,icmpv6,0,10,0,normal
0,500,icmpv6,0,10,0,normal
0,500,icmpv6,0,10,0,normal
1650,0,icmpv6,0,33,0,normal
1100,0,icmpv6,0,22,0,normal
1300,0,icmpv6,0,26,0,normal
1300,0,icmpv6,0,26,0,normal
0,200,icmpv6,0,4,0,normal
0,1000,icmpv6,0,20,0,normal
0,500,icmpv6,0,10,0,normal
0,500,icmpv6,0,10,0,normal
0,500,icmpv6,0,10,0,normal
0,450,icmpv6,0,9,0,normal
0,450,icmpv6,0,9,0,normal
0,450,icmpv6,0,9,0,normal
0,650,icmpv6,0,13,0,normal
0,650,icmpv6,0,13,0,normal
0,650,icmpv6,0,13,0,normal
0,150,icmpv6,0,3,0,normal
0,150,icmpv6,0,3,0,normal
0,150,icmpv6,0,3,0,normal
600,0,icmpv6,0,12,0,normal
600,0,icmpv6,0,12,0,normal
600,0,icmpv6,0,12,0,normal
600,0,icmpv6,0,12,0,normal
600,0,icmpv6,0,12,0,normal
400,0,icmpv6,0,8,0,normal
200,0,icmpv6,0,4,0,normal
200,0,icmpv6,0,4,0,normal
200,0,icmpv6,0,4,0,normal
